Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1986,    12, 0.11470553, 6.28540567, 0.82546660, 27.3420403,  3.0041000, 37.5717181,    26.4339 
1987,    12, 0.14365525, 6.12302358, 0.79709039, 27.3384468,  3.0041000, 37.4063160,    23.7821 
1988,    12, 0.04688375, 5.84401237, 0.76820785, 27.3274589,  3.0041000, 36.9906628,    19.9874 
1989,    12, 0.10468022, 5.74561345, 0.74962693, 27.3140723,  3.0041000, 36.9180929,    17.9101 
1990,    12, 0.52508656, 6.25766062, 0.77944087, 27.3545502,  3.0041000, 37.9208383,    20.2684 
1991,    12, 0.10676241, 6.60541901, 0.87080756, 27.4920844,  3.0041000, 38.0791734,    19.0322 
1992,    12, 0.09478259, 6.30536880, 0.82838871, 27.4883241,  3.0041000, 37.7209642,    15.9085 
1993,    12, 0.07127060, 5.89227031, 0.77274815, 27.4511891,  3.0041000, 37.1915782,    12.3001 
1994,    12, 0.03315090, 5.55990503, 0.73237737, 27.4122808,  3.0041000, 36.7418141,     9.1330 
1995,    12, 0.25220121, 5.81556098, 0.75127823, 27.4256981,  3.0041000, 37.2488385,     9.2609 
1996,    12, 0.51557380, 6.48406326, 0.81660887, 27.5113617,  3.0041000, 38.3317076,    11.2380 
1997,    12, 0.19358984, 6.58356209, 0.85784273, 27.5903377,  3.0041000, 38.2294324,     9.8991 
1998,    12, 0.06384808, 6.38404094, 0.84256345, 27.6175954,  3.0041000, 37.9121479,     7.5962 
1999,    12, 0.44656388, 5.86088514, 0.73213758, 27.5072364,  3.0041000, 37.5509230,     4.9531 
2000,    12, 0.36374445, 6.12473254, 0.78032661, 27.5603633,  3.0041000, 37.8332669,     4.3139 
2001,    12, 0.05493572, 6.01911458, 0.79654471, 27.6006927,  3.0041000, 37.4753877,     2.3736 
2002,    12, 0.19957565, 6.25176787, 0.81276951, 27.6373497,  3.0041000, 37.9055627,     2.4599 
2003,    12, 0.30687519, 6.55771027, 0.84176635, 27.6928217,  3.0041000, 38.4032735,     2.7529 
2004,    12, 0.52942528, 6.49895710, 0.80994082, 27.6868927,  3.0041000, 38.5293160,     1.8580 
2005,    12, 0.19835885, 6.37125219, 0.82550997, 27.7310780,  3.0041000, 38.1302990,     0.1049 
2006,    12, 0.03349403, 6.38028348, 0.84791802, 27.7966027,  3.0041000, 38.0623982,    -1.1078 
2007,    12, 0.18587642, 6.37032373, 0.82856159, 27.8026621,  3.0041000, 38.1915238,    -1.6365 
