Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1943,     1, 0.05245176, 4.79854997, 0.63274923, 27.4503935,  3.0041000, 35.9382445,   -98.0332 
1943,     2, 0.03357086, 4.73473952, 0.62581822, 27.4393267,  3.0041000, 35.8375553,   -98.2813 
1943,     3, 0.02047683, 4.66503709, 0.61756737, 27.4261079,  3.0041000, 35.7332892,   -98.5413 
1943,     4, 0.00879104, 4.54818825, 0.60302471, 27.4020446,  3.0041000, 35.5661486,   -98.9583 
1943,     5, 0.00763116, 4.52892299, 0.60049607, 27.3979029,  3.0041000, 35.5390531,   -99.0343 
1943,     6, 0.00638960, 4.50486132, 0.59732695, 27.3926675,  3.0041000, 35.5053454,   -99.1267 
1943,     7, 0.00515940, 4.47605262, 0.59351995, 27.3863125,  3.0041000, 35.4651445,   -99.2355 
1943,     8, 0.00415851, 4.44718666, 0.58969101, 27.3798548,  3.0041000, 35.4249910,   -99.3444 
1943,     9, 0.67729252, 4.87836650, 0.58478239, 27.3714560,  3.0041000, 36.5159974,   -97.1511 
1943,    10, 0.25832249, 4.73931967, 0.60763826, 27.3878832,  3.0041000, 35.9972636,   -98.2664 
1943,    11, 0.16505843, 4.67606207, 0.60803712, 27.3846062,  3.0041000, 35.8378638,   -98.6319 
1943,    12, 0.12731393, 4.63978028, 0.60668302, 27.3809273,  3.0041000, 35.7588045,   -98.8215 
1944,     1, 0.09613012, 4.60083779, 0.60433887, 27.3758787,  3.0041000, 35.6812855,   -99.0099 
1944,     2, 0.08204932, 4.57902891, 0.60268468, 27.3726438,  3.0041000, 35.6405067,   -99.1145 
1944,     3, 0.06469619, 4.54650317, 0.59988727, 27.3673636,  3.0041000, 35.5825502,   -99.2602 
1944,     4, 0.03721138, 4.47168714, 0.59241366, 27.3535768,  3.0041000, 35.4589890,   -99.5646 
1944,     5, 0.01954527, 4.38613893, 0.58261542, 27.3358068,  3.0041000, 35.3282064,   -99.8916 
1944,     6, 0.01657407, 4.36449515, 0.57994591, 27.3310624,  3.0041000, 35.2961776,   -99.9794 
1944,     7, 0.01331524, 4.33592349, 0.57637217, 27.3246691,  3.0041000, 35.2543800,  -100.0916 
1944,     8, 0.81406511, 4.86382549, 0.57255351, 27.3177906,  3.0041000, 36.5723347,   -97.4085 
1944,     9, 0.43905067, 4.77456323, 0.59712284, 27.3397590,  3.0041000, 36.1545957,   -98.2922 
1944,    10, 0.19191461, 4.65748485, 0.60555853, 27.3417080,  3.0041000, 35.8007660,   -99.0759 
1944,    11, 0.14212575, 4.61570870, 0.60458913, 27.3381039,  3.0041000, 35.7046275,   -99.3026 
1944,    12, 0.12157809, 4.59413623, 0.60356772, 27.3356453,  3.0041000, 35.6590274,   -99.4163 
1945,     1, 0.11381827, 4.58505520, 0.60304684, 27.3345058,  3.0041000, 35.6405261,   -99.4682 
1945,     2, 0.07953327, 4.53601701, 0.59960404, 27.3274267,  3.0041000, 35.5466810,   -99.6952 
1945,     3, 0.05322398, 4.48168606, 0.59468788, 27.3181261,  3.0041000, 35.4518240,   -99.9279 
1945,     4, 0.08561047, 4.49359966, 0.59322114, 27.3154747,  3.0041000, 35.4920059,   -99.9036 
1945,     5, 0.11143566, 4.49961617, 0.59157568, 27.3122074,  3.0041000, 35.5189349,   -99.9068 
1945,     6, 0.13080433, 4.50154824, 0.58999468, 27.3087176,  3.0041000, 35.5351649,   -99.9306 
1945,     7, 0.14254982, 4.49791770, 0.58839237, 27.3047898,  3.0041000, 35.5377497,   -99.9810 
1945,     8, 0.15445298, 4.49720897, 0.58717546, 27.3014968,  3.0041000, 35.5444342,  -100.0204 
1945,     9, 0.30289020, 4.58764214, 0.58549837, 27.2966375,  3.0041000, 35.7767682,   -99.7628 
1945,    10, 0.15523700, 4.49656456, 0.58759247, 27.2922917,  3.0041000, 35.5357857,  -100.2344 
1945,    11, 0.10936046, 4.44955712, 0.58558537, 27.2865859,  3.0041000, 35.4351888,  -100.4502 
1945,    12, 0.08767353, 4.42015024, 0.58362831, 27.2821842,  3.0041000, 35.3777363,  -100.5814 
1946,     1, 0.06774955, 4.38609637, 0.58087481, 27.2764475,  3.0041000, 35.3152682,  -100.7263 
1946,     2, 0.04172555, 4.32277906, 0.57479466, 27.2643496,  3.0041000, 35.2077489,  -100.9765 
